Date,Day of Week,Breakfast (cal),Lunch (cal),Dinner (cal),Other/Snacks (cal),Total Calories,Total Protein (g),Total Carbs (g),Calories Out (TDEE+Exercise),Calorie Deficit,Weight (kg)
2026-04-13,Monday,330,450,520,350,1590,~70,~170,~2400,~810,
2026-04-14,Tuesday,350,300,460,0,1480,~65,~160,~2200,~720,
2026-04-15,Wednesday,440,535,0,0,975,~60,~120,~2100,~1125,
2026-04-16,Thursday,0,0,0,0,1215,~70,~150,~2200,~985,
2026-04-17,Friday,0,0,0,0,1430,~65,~180,~2100,~670,
2026-04-18,Saturday,0,0,0,0,1500+,~60,~200+,~2200,~700,
2026-04-19,Sunday,0,0,0,0,~1200,~55,~140,~1900,~700,
2026-04-20,Monday,0,0,0,0,1250,~65,~150,~2300,~1050,
2026-04-21,Tuesday,0,0,0,0,1350,~65,~165,~2200,~850,
2026-04-22,Wednesday,0,0,0,0,1200,~65,~145,~2250,~1050,
2026-04-23,Thursday,~900,~110,~110,~400,1110,97,~130,~2050,~940,80.25
2026-04-24,Friday,330,420,580,0,1330,81,~160,~2150,~820,
2026-04-25,Saturday,280,580,515,240,1615,85,~190,~2646,~1031,80.25
2026-04-26,Sunday,420,300,460,250,1430,~95,~160,~2300,~870,
2026-04-27,Monday,400,576,506,~524,2006,105,~220,~2500,~494,
2026-04-28,Tuesday,280,678,1110,216,2284,119,~260,~2598,~314,
2026-04-29,Wednesday,~380,~625,0,750,1755,~70,~180,~2350,~595,
2026-04-30,Thursday,250,400,350,~320,1320,58,110,~2100,~780,
2026-05-01,Friday,410,1083,440,130,2063,109.6,220,~2350,~287,
2026-05-02,Saturday,,,,,,,,,80.50
